company,education,Industry,jobdescription,City,Job_Title,Posting_Date,Skill_Category,Experience_Years,Average_Salary,Year,Month,Month_Name
MM Media Pvt Ltd,"UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required",Media / Entertainment / Internet,"Job Description   Send me Jobs like this Qualifications: - == > 10th To Graduation & Any Skill: - == > Basic Computer Knowledge Job Requirement : - == > System or Laptop Type of job: - == > Full Time or Part time Languages : - == > Tamil & English. Experience : - == > Freshers & Experience payment details: - 1 form per day 5/- 10 form per day 50/- 100 form per day 500/- monthly you can earn 15000/- per month Selection Process: - == > Easy Selection Process,So What Are You Waiting For? Apply Now & Grab Best Opportunity To Make Your Carrier & To Improve Your Earing Skills. More detail contact Mr Hari 8678902528 9003010282 Salary:INR 1,50,000 - 2,25,000 P.A Industry: Media / Entertainment / Internet Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills English Typing Part Time Data Entry Selection Process Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Please refer to the Job description above Company Profile: MM Media Pvt Ltd Mass Media International Find Live Info Pvt Ltd DATA SERVICES is established in the year 2012 with a vision of transforming an ordinary to extra ordinary thing. Find live info is one of our main project, it is a developing search engine site based at Chennai, India. With years of experience, we have crafted massive data collection job opportunities for public. FIND LIVE INFO a blend of experience, imagination, strategy and action to create digital experience that excite, challenge, inspire and engage users. FIND LIVE INFO provides other business opportunities which will be handled by experts of various fields. We have interesting combination of young and experienced Specialists Under the guidance of our Top Management we bloom towards success More detail contect 8678902528 Download PPT Photo 1   View Contact Details",Chennai,Walkin Data Entry Operator (night Shift),2016-05-21 19:30:00+00:00,ITES,0.5,187500,2016,5,May
find live infotech,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this Qualifications: - == > 10th To Graduation & Any Skill: - == > Basic Computer Knowledge Job Requirement : - == > System or Laptop Type of job: - == > Full Time or Part time Languages : - == > Tamil & English. Experience : - == > Freshers & Experience payment details: - 1 form per day 5/- 10 form per day 50/- 100 form per day 500/- monthly you can earn 15000/- per month Selection Process: - == > Easy Selection Process,So What Are You Waiting For? Apply Now & Grab Best Opportunity To Make Your Carrier & To Improve Your Earing Skills. Chennai Peoples Only Contact Deepika Team Leader 9087728815 / 9087726713 Salary:INR 1,50,000 - 2,50,000 P.A. 20000 Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Online/Digital Marketing Role:Search Engine Marketing/SEM Specialist Keyskills Data Entry data processing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: find live infotech Find Live Infotech is one of our main projects, it is a developing search engine site based at chennai , India. With years of experience , we have crafted massive data collection job oppurtunties for public. Find live infotech provides other business opportunities which will be handled by experts of various fields Download PPT Photo 1   View Contact Details",Chennai,Work Based Onhome Based Part Time.,2016-05-21 19:30:00+00:00,Marketing,0,200000,2016,5,May
Kinesis Management Consultant Pvt. Ltd,Not Specified,IT-Software / Software Services,"Job Description   Send me Jobs like this experience/strong knowledge in PHP web application development Develop and maintain new features on Web Application development & LAMP stack Handson experience in PHP, Perl, Python, MySQL, JQuery, Ajax is must. Strong in OOPS and must have worked in Salary:INR 3,00,000 - 6,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills LAMP PHP MySQL JQuery Ajax Python OOPS Web Application Development Perl Web Technologies Web Services struts asp.net xml soap webservices shampoo Desired Candidate Profile Working experience in any of the APIs like Facebook, Twitter or Google would be added advantage Create highly efficient and dynamic PHP code Familiar with JavaScript frameworks like Angular, React, Ember and/or Backbone Troubleshoot, test and mainta Company Profile: Kinesis Management Consultant Pvt. Ltd Large It Company , Design, develop, maintain and optimize secure and scalable web applications in all phases of the development life cycle Analyze requirements and develop application designs, Download PPT Photo 1   View Contact Details",Delhi NCR,PHP Developer,2016-10-13 16:20:55+00:00,IT Software - Application Programming,2,475000,2016,10,October
HANSUM INDIA ELECTRONICS PVT.LTD.,"UG: Diploma - Any Specialization, Electronics/Telecommunication",Industrial Products / Heavy Machinery,"Job Description   Send me Jobs like this Independent handling of entire production line with 30 employees. Handling of tools and equipment using in line. Give proper training to trainee employees. Keep documents of materials , finished goods and daily output Maintain target output with quality product. Salary:INR 1,00,000 - 2,00,000 P.A Industry: Industrial Products / Heavy Machinery Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Product Development Executive Keyskills Product Quality Production Team Leading team handling teamleadar Desired Candidate Profile Please refer to the Job description above Education- UG: Diploma - Any Specialization, Electronics/Telecommunication Company Profile: HANSUM INDIA ELECTRONICS PVT.LTD. Please have a look our website for more information. www.hansum.in Download PPT Photo 1   View Contact Details",Bengaluru,Team Leader,2016-10-13 16:20:55+00:00,Production,2,150000,2016,10,October
Sinai Global,"UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this We are looking for a skilled and passionate Full Stack (PHP) Developer. You should have 2+ years of experience working with multiple architectures and coding languages (front-end & back-end technologies). Apply now. Salary:INR 1,75,000 - 2,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Graphic/Web Designer Keyskills Web Technologies Web Application Full Stack Application Developer full stack web developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Sinai Global Works on IT services related to Logistics Download PPT Photo 1   View Contact Details",Bengaluru,Full Stack Web Application (php) Developer,2016-10-13 16:20:55+00:00,IT Software - Application Programming,3,212500,2016,10,October
SMACera Technologies Consulting and Services Pvt L hiring for Smacera Technologies,Not Specified,Recruitment / Staffing,"Job Description   Send me Jobs like this 1. High typing speed 2. Excellent English communication 3. Excellent knowledge of Microsoft office and in particular Excel 4. Should know Excel macros & commands 5. Low error rate while typing 6. Should be able to meet / exceed targets every day Salary:INR 1,00,000 - 2,00,000 P.A. incentives for achieving targets Industry: Recruitment / Staffing Functional Area: Executive Assistant , Front Office , Data Entry Role Category:Other Role:Stenographer/Data Entry Operator Keyskills Excel MS Office Typing Macros Data Entry data processing Desired Candidate Profile 1. Confident2. Hardworking3. Punctual4. Follow process5. Low errors during documentation Company Profile: SMACera Technologies Consulting and Services Pvt L Smacera Technologies SMACera Technologies is a Bangalore based recruitment and staffing firm started in Jul 2013 Download PPT Photo 1   View Contact Details",Bengaluru,Data Entry Executive,2016-10-13 16:20:55+00:00,Executive Assistant,1.5,150000,2016,10,October
Janak Vidya Consultancy Pvt. Ltd.,Not Specified,IT-Software / Software Services,"Job Description   Send me Jobs like this (2-3 years experience) Extensive development exposure in PHP, HTML, CSS, JavaScript, Jquery, HMVC * Ajax,Psd to Html, Parallax, Photoshop skills will be added advantage * Minimum SQL knowledge is important * Very good in php code Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Programming & Design Role:Software Developer Keyskills HTML Javascript JQuery CSS Ajax PHP PSD Photoshop SQL sql server Desired Candidate Profile Please refer to the Job description above Company Profile: Janak Vidya Consultancy Pvt. Ltd. About Web Advisor Web Advisor is a total Solutions Provider assisting companies with Web Development, Software Development, Web Application, internet presence, e-commerce Development etc. Founded in 2008 Download PPT Photo 1   View Contact Details",Bengaluru,PHP Developer_banashankari II Stage,2016-10-13 16:20:55+00:00,IT Software - Other,3,300000,2016,10,October
R3 Plant Design,"UG: B.Tech/B.E. - Mechanical, Mineral, Mining, Diploma - Any Specialization",Industrial Products / Heavy Machinery,"Job Description   Send me Jobs like this Job Description : Interested in Real mechanical Design.. If So this is the opportunity !! Our company is small, dedicated off shore design office for a Australian  company, involved in designing material handling equipment's and structures for Mining, Grain and mineral processing industry for I We are looking for Engineers, who should have at least 3 Years of Experience in Autodesk Inventor. Must be proficient in Part modeling, sheet metal modeling, large assembly & detail drawings. Candidates should be able to communicate in English (both verbal and in writing) A formal training will be provided on joining regarding Industry standards and requirements.. Salary is negotiable depending on candidate experience .. Salary:INR 1,50,000 - 3,75,000 P.A Industry: Industrial Products / Heavy Machinery Functional Area: Engineering Design , R&D Role Category:Engineering Design Role:Design Engineer Keyskills Design Engineering Mechanical Design Material Handling Autodesk Inventor Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Mechanical, Mineral, Mining, Diploma - Any Specialization Company Profile: R3 Plant Design R3 Plant Design, bommasandra industrial area Bangalore Download PPT Photo 1   View Contact Details",Bengaluru,Design Engineer,2016-10-13 16:20:55+00:00,Engineering Design,5.5,262500,2016,10,October
Green Start hiring for leading NBFC,UG: Any Graduate - Any Specialization,Banking / Financial Services / Broking,"Job Description   Send me Jobs like this looking for seasoned Sales and RM-lap/ml//Pl/bl/cv professionals to be a part of a dynamic, motivated and highly productive frontline sales team. Visit schools and other educational institutions and achieve business targets of loans disbursed Salary:INR 1,75,000 - 3,00,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Sales Relationship Management Dynamic lap mortgage loans business loans sme pl cv stpl personal loan high ticket Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: Green Start leading NBFC Bangalore based non-banking finance company (NBFC). Varthana stands for transformation - transformation of the country's affordable private education sector. Download PPT Photo 1   View Contact Details",Bengaluru,"Urgent Opening -rm-banglore, Vijayawada, Srikakulam, Chitoor",2016-10-13 16:20:56+00:00,Sales,3.5,237500,2016,10,October
Human Capital Resource,UG: Any Graduate PG:Any Postgraduate,Internet / Ecommerce,"Job Description   Send me Jobs like this Should have exp in telesales, good communication and 0-1 yr of exp . Shift timing :9-6 mon to sat Interested Candidates please send Cv's to k.priyanka@hcrconsulting.in Salary:INR 50,000 - 1,50,000 P.A Industry: Internet / Ecommerce Functional Area: Sales , Retail , Business Development Role Category:Sales Support Role:Telesales/Telemarketing Executive/Officer Keyskills Telesales telemarketing telecaller telesales telecaller female tele marketing executive telesales telemarketing tele Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate PG:Any Postgraduate Company Profile: Human Capital Resource One of our clients in HSR Layout, which provides home rental solutions Download PPT Photo 1   View Contact Details",Bengaluru,Telesales Executive,2016-10-13 16:20:56+00:00,Sales,0.5,100000,2016,10,October
